Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.00145635 0.387755 6.90384 12.9247 50.3439 0.295681 0.297171 5.03791 1.35561 2.75339
0.00145635 0.408163 6.34026 11.8696 53.6642 0.294817 0.296305 4.84196 1.33483 2.88735
0.00145635 0.428571 5.83032 10.915 57.1473 0.294082 0.295567 4.6663 1.31566 3.01798
0.00145635 0.44898 5.36672 10.047 60.8112 0.293488 0.294971 4.50057 1.29767 3.16177
0.00145635 0.469388 4.94341 9.25458 64.6762 0.293019 0.294501 4.35342 1.28104 3.3036
0.00145635 0.489796 4.55537 8.52812 68.7658 0.292683 0.294164 4.20708 1.26426 3.45508
0.00145635 0.510204 4.19836 7.85975 73.1064 0.292474 0.293955 4.07974 1.24951 3.60113
0.00145635 0.530612 3.8688 7.24279 77.7289 0.29237 0.29385 3.95985 1.23602 3.7449
0.00145635 0.55102 3.56365 6.67152 82.6691 0.292399 0.29388 3.86035 1.22367 3.88305
0.00145635 0.571429 3.2803 6.14105 87.9691 0.292546 0.294027 3.75744 1.21147 4.03101
0.00145635 0.591837 3.01648 5.64716 93.6784 0.292788 0.294269 3.65992 1.19987 4.18246
0.00145635 0.612245 2.77025 5.18619 99.8564 0.293151 0.294633 3.56866 1.18864 4.33498
0.00145635 0.632653 2.53991 4.75496 106.574 0.293617 0.295101 3.48566 1.17856 4.48527
0.00145635 0.653061 2.32396 4.35069 113.918 0.294198 0.295684 3.41135 1.16924 4.63128
0.00145635 0.673469 2.1211 3.97092 121.996 0.294876 0.296363 3.34092 1.16042 4.77876
0.00145635 0.693878 1.93018 3.61349 130.938 0.295653 0.297143 3.27593 1.15187 4.92909
0.00145635 0.714286 1.75016 3.27649 140.915 0.296529 0.298021 3.21641 1.14443 5.06983
0.00145635 0.734694 1.58015 2.95821 152.139 0.297505 0.299 3.15977 1.13703 5.21802
0.00145635 0.755102 1.41934 2.65714 164.893 0.298585 0.300084 3.09923 1.1291 5.38119
0.00145635 0.77551 1.26698 2.37192 179.551 0.299759 0.301261 3.04674 1.12243 5.53094
0.00145635 0.795918 1.12245 2.10134 196.626 0.30102 0.302526 3.00013 1.11653 5.67541
0.00145635 0.816327 0.985139 1.84428 216.841 0.302381 0.30389 2.95304 1.11027 5.8325
0.00145635 0.836735 0.854532 1.59977 241.251 0.303825 0.305338 2.91426 1.10504 5.97741
0.00145635 0.857143 0.730146 1.36691 271.461 0.305366 0.306884 2.87218 1.09979 6.12933
0.00145635 0.877551 0.611548 1.14488 310.057 0.306996 0.308518 2.82993 1.09428 6.29394
0.00145635 0.897959 0.498343 0.932949 361.509 0.308713 0.310239 2.7986 1.08957 6.4424
0.00145635 0.918367 0.390172 0.730442 434.333 0.310525 0.312057 2.76418 1.08495 6.59821
0.00145635 0.938776 0.286706 0.536743 547.252 0.312428 0.313965 2.73339 1.08129 6.74646
0.00145635 0.959184 0.187645 0.35129 752.078 0.314419 0.315961 2.70318 1.07693 6.91042
0.00145635 0.979592 0.092713 0.173568 1276.17 0.316489 0.318037 2.67524 1.0731 7.06458
0.00145635 1 0.00165788 0.00310373 26097.5 0.318683 0.320236 2.6507 1.0701 7.21484
0.00175751 0 5471.98 10244.1 0.337021 0.347685 0.349307 103.477 2.49769 22.5655
0.00175751 0.0204082 202.45 379.007 3.99509 0.34205 0.34366 45.6248 2.54556 8.55154
0.00175751 0.0408163 101.002 189.086 6.73004 0.336714 0.338311 29.2417 2.403 4.72733
0.00175751 0.0612245 66.3153 124.149 9.22687 0.331968 0.333554 21.6771 2.25472 3.21998
0.00175751 0.0816327 48.8052 91.3683 11.6122 0.32772 0.329296 17.3331 2.12342 2.49119
0.00175751 0.102041 38.2456 71.5997 13.9421 0.323889 0.325456 14.5167 2.01122 2.1048
0.00175751 0.122449 31.1837 58.3791 16.2487 0.320417 0.321974 12.5528 1.91483 1.89814
0.00175751 0.142857 26.1288 48.9158 18.5535 0.317252 0.318802 11.0761 1.83158 1.7968
