Tend Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.714943 3.2024 5.99523 89.569 0.253871 0.255226 2.5485 1.05457 5.43436
0.74881 3.19547 5.98224 89.7148 0.252462 0.253813 2.53773 1.0531 5.42205
0.784282 3.18899 5.97011 89.8515 0.251092 0.252438 2.52666 1.05148 5.41123
0.821434 3.18292 5.95875 89.9799 0.249768 0.251109 2.51355 1.04974 5.40348
0.860346 3.17725 5.94814 90.1004 0.248508 0.249844 2.50558 1.04848 5.39009
0.901102 3.17193 5.93817 90.2137 0.24732 0.248652 2.50224 1.04777 5.36927
0.943788 3.16694 5.92884 90.3202 0.246209 0.247537 2.49252 1.04641 5.36122
0.988496 3.16223 5.92002 90.4211 0.245208 0.246532 2.48461 1.04533 5.35166
1.03532 3.15779 5.91171 90.5164 0.244295 0.245616 2.48097 1.0447 5.33653
1.08437 3.15359 5.90384 90.6069 0.243499 0.244817 2.47328 1.0435 5.3336
1.13573 3.14959 5.89635 90.6932 0.242814 0.24413 2.46657 1.04272 5.32906
1.18953 3.14577 5.8892 90.7758 0.242243 0.243557 2.46725 1.04263 5.31404
1.24588 3.1421 5.88233 90.8553 0.241797 0.243109 2.46431 1.04227 5.30674
1.3049 3.13856 5.87571 90.9321 0.241454 0.242764 2.45911 1.04167 5.30829
1.36672 3.13514 5.8693 91.0066 0.241215 0.242525 2.4581 1.04127 5.30955
1.43146 3.13179 5.86303 91.0795 0.241086 0.242395 2.45387 1.04068 5.31595
1.49927 3.12851 5.85688 91.1511 0.241054 0.242364 2.45622 1.04094 5.31075
1.57029 3.12527 5.85083 91.2219 0.241099 0.242409 2.45605 1.0411 5.30879
1.64468 3.12208 5.84485 91.2918 0.24123 0.24254 2.45492 1.04071 5.31788
1.72259 3.11889 5.83888 91.3618 0.241406 0.242717 2.45449 1.04077 5.32373
1.80419 3.11572 5.83295 91.4315 0.241644 0.242955 2.45568 1.04115 5.32315
1.88965 3.11255 5.82701 91.5014 0.241915 0.243227 2.45517 1.04087 5.33475
1.97917 3.10937 5.82106 91.5715 0.242209 0.243522 2.45433 1.04095 5.34459
