Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.011514 0.734694 1.56797 2.9354 153.025 0.280472 0.281916 3.28724 1.13164 4.67407
0.011514 0.755102 1.41091 2.64137 165.63 0.280458 0.281902 3.23053 1.12544 4.78027
0.011514 0.77551 1.26206 2.36271 180.076 0.280493 0.281937 3.17916 1.11972 4.88316
0.011514 0.795918 1.12079 2.09824 196.843 0.280559 0.282004 3.13265 1.11465 4.97532
0.011514 0.816327 0.986543 1.84691 216.61 0.280673 0.282117 3.0829 1.10931 5.07925
0.011514 0.836735 0.858802 1.60777 240.35 0.280825 0.28227 3.03759 1.10425 5.17749
0.011514 0.857143 0.737109 1.37994 269.535 0.281012 0.282458 2.99681 1.09953 5.27736
0.011514 0.877551 0.621046 1.16266 306.494 0.281245 0.282692 2.95005 1.09428 5.38756
0.011514 0.897959 0.510229 0.955202 355.174 0.281519 0.282966 2.90997 1.09017 5.48356
0.011514 0.918367 0.404315 0.756918 422.888 0.281818 0.283266 2.87522 1.08587 5.57715
0.011514 0.938776 0.302982 0.567213 525.052 0.282172 0.283621 2.83856 1.08183 5.67389
0.011514 0.959184 0.205943 0.385547 701.382 0.282565 0.284015 2.80224 1.07773 5.77499
0.011514 0.979592 0.112929 0.211414 1100.68 0.282983 0.284435 2.77 1.07401 5.87103
0.011514 1 0.0236956 0.0443606 3550.29 0.283441 0.284894 2.73594 1.06995 5.97679
0.0132571 0 488.791 915.066 2.06264 0.322128 0.32369 30.5348 2.20033 4.72204
0.0132571 0.0204082 145.361 272.13 5.12188 0.31914 0.320695 22.5199 2.08852 3.24325
0.0132571 0.0408163 83.881 157.034 7.73601 0.316292 0.317839 17.9815 1.98312 2.52129
0.0132571 0.0612245 58.1885 108.935 10.1774 0.313618 0.315158 15.0774 1.8908 2.13453
0.0132571 0.0816327 44.0812 82.5246 12.5336 0.311098 0.312631 13.0645 1.8124 1.91761
0.0132571 0.102041 35.1657 65.8337 14.8483 0.30872 0.310247 11.5728 1.74566 1.80236
0.0132571 0.122449 29.0217 54.3315 17.1484 0.306498 0.308018 10.4548 1.68811 1.75354
0.0132571 0.142857 24.531 45.9246 19.4526 0.3044 0.305915 9.53933 1.63777 1.74271
0.0132571 0.163265 21.1057 39.512 21.7754 0.302435 0.303945 8.8323 1.59529 1.75991
0.0132571 0.183673 18.4069 34.4597 24.1284 0.300594 0.302098 8.2006 1.55573 1.8013
0.0132571 0.204082 16.2258 30.3764 26.5222 0.298851 0.30035 7.70087 1.5221 1.85367
0.0132571 0.22449 14.4265 27.008 28.9663 0.29722 0.298714 7.24981 1.49102 1.92099
0.0132571 0.244898 12.917 24.1819 31.4698 0.295682 0.297172 6.87492 1.46351 1.99341
0.0132571 0.265306 11.6324 21.777 34.0419 0.294241 0.295727 6.54676 1.43863 2.07276
0.0132571 0.285714 10.526 19.7058 36.6916 0.292896 0.294377 6.24998 1.41579 2.15558
0.0132571 0.306122 9.56321 17.9033 39.4287 0.291635 0.293113 5.96883 1.39368 2.24998
0.0132571 0.326531 8.71774 16.3205 42.2631 0.290447 0.291921 5.73719 1.37466 2.33851
0.0132571 0.346939 7.96943 14.9196 45.2058 0.289341 0.290812 5.51556 1.3564 2.43388
0.0132571 0.367347 7.30243 13.6709 48.2685 0.288304 0.289772 5.31287 1.33906 2.53306
0.0132571 0.387755 6.70421 12.551 51.4641 0.287345 0.288811 5.13842 1.32371 2.62722
0.0132571 0.408163 6.16465 11.5409 54.8067 0.286453 0.287915 4.96922 1.30905 2.72629
0.0132571 0.428571 5.67553 10.6252 58.3123 0.285629 0.287089 4.82417 1.29585 2.81908
0.0132571 0.44898 5.23012 9.79131 61.9985 0.284867 0.286325 4.67335 1.28214 2.92485
0.0132571 0.469388 4.8228 9.02877 65.8856 0.284169 0.285624 4.54144 1.26992 3.0254
0.0132571 0.489796 4.44889 8.32879 69.9964 0.283515 0.284969 4.41728 1.25828 3.1281
0.0132571 0.510204 4.10447 7.68398 74.3571 0.282931 0.284382 4.30988 1.24775 3.22137
0.0132571 0.530612 3.78616 7.08808 78.9979 0.282407 0.283857 4.20564 1.23746 3.31989
0.0132571 0.55102 3.49112 6.53574 83.954 0.281928 0.283376 4.09827 1.22726 3.42544
0.0132571 0.571429 3.21689 6.02234 89.2664 0.281504 0.282951 4.00453 1.218 3.52513
0.0132571 0.591837 2.96134 5.54393 94.9836 0.281133 0.282579 3.92348 1.20959 3.616
0.0132571 0.612245 2.72263 5.09705 101.163 0.280808 0.282253 3.83423 1.20071 3.72144
0.0132571 0.632653 2.49916 4.67868 107.875 0.280543 0.281987 3.74983 1.19233 3.82545
0.0132571 0.653061 2.28951 4.28619 115.202 0.280318 0.281762 3.67856 1.18501 3.91923
0.0132571 0.673469 2.09243 3.91725 123.247 0.280132 0.281575 3.61146 1.17784 4.01313
0.0132571 0.693878 1.90684 3.5698 132.138 0.280007 0.28145 3.54102 1.17069 4.11339
0.0132571 0.714286 1.73176 3.24202 142.036 0.279907 0.281349 3.47618 1.16369 4.21282
