Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
18.3298 0.578947 3.04442 5.69946 93.033 0.245518 0.246843 2.52912 1.04638 5.31942
18.3298 0.631579 3.04442 5.69946 93.0329 0.245509 0.246835 2.52683 1.04581 5.32989
18.3298 0.684211 3.04441 5.69945 93.0331 0.245514 0.24684 2.52863 1.04627 5.31863
18.3298 0.736842 3.04442 5.69946 93.0329 0.245517 0.246842 2.52714 1.04597 5.32866
18.3298 0.789474 3.04442 5.69946 93.033 0.245513 0.246839 2.52817 1.0461 5.32576
18.3298 0.842105 3.04442 5.69946 93.033 0.245513 0.246839 2.52933 1.04636 5.32076
18.3298 0.894737 3.04441 5.69945 93.0331 0.245514 0.24684 2.5271 1.04589 5.32734
18.3298 0.947368 3.04442 5.69946 93.0329 0.245509 0.246834 2.5278 1.04622 5.32196
18.3298 1 3.04442 5.69946 93.033 0.245519 0.246845 2.52516 1.04586 5.32858
20.6914 0 3.04442 5.69946 93.0329 0.245515 0.24684 2.52601 1.04585 5.33053
20.6914 0.0526316 3.04442 5.69946 93.0329 0.245509 0.246834 2.52463 1.04583 5.33005
20.6914 0.105263 3.04441 5.69945 93.0331 0.245516 0.246842 2.53109 1.04629 5.32058
20.6914 0.157895 3.04441 5.69945 93.0331 0.245519 0.246845 2.53164 1.04637 5.31638
20.6914 0.210526 3.04442 5.69946 93.0329 0.245518 0.246843 2.52908 1.04616 5.32312
20.6914 0.263158 3.04442 5.69946 93.0329 0.24552 0.246846 2.5244 1.0458 5.33114
20.6914 0.315789 3.04442 5.69946 93.0329 0.245518 0.246844 2.5274 1.04614 5.32159
20.6914 0.368421 3.04442 5.69946 93.0329 0.245517 0.246843 2.5295 1.0462 5.32131
20.6914 0.421053 3.04442 5.69946 93.0329 0.245518 0.246844 2.52574 1.04597 5.32635
20.6914 0.473684 3.04442 5.69946 93.033 0.245518 0.246844 2.52797 1.04604 5.32372
20.6914 0.526316 3.04441 5.69945 93.0331 0.245516 0.246842 2.52543 1.04591 5.32923
20.6914 0.578947 3.04442 5.69946 93.0329 0.245515 0.246841 2.53052 1.04623 5.32096
20.6914 0.631579 3.04441 5.69945 93.0331 0.245516 0.246842 2.52671 1.04599 5.32829
20.6914 0.684211 3.04442 5.69946 93.0329 0.245509 0.246835 2.53035 1.04608 5.32379
20.6914 0.736842 3.04442 5.69946 93.033 0.245522 0.246848 2.52488 1.04583 5.33102
20.6914 0.789474 3.04441 5.69946 93.033 0.245516 0.246842 2.52516 1.04584 5.32824
20.6914 0.842105 3.04442 5.69946 93.0329 0.245517 0.246843 2.52638 1.04581 5.32896
20.6914 0.894737 3.04442 5.69946 93.0329 0.245512 0.246838 2.5285 1.04593 5.32587
20.6914 0.947368 3.04442 5.69946 93.0329 0.245521 0.246847 2.53267 1.04643 5.31649
20.6914 1 3.04442 5.69946 93.0329 0.245509 0.246835 2.53225 1.04633 5.3186
23.3572 0 3.04441 5.69945 93.0331 0.245513 0.246839 2.52778 1.04611 5.32365
23.3572 0.0526316 3.04442 5.69946 93.0329 0.245518 0.246844 2.52751 1.04589 5.32577
23.3572 0.105263 3.04442 5.69946 93.0329 0.245519 0.246845 2.52873 1.04607 5.32386
23.3572 0.157895 3.04441 5.69945 93.0331 0.245517 0.246842 2.52921 1.04625 5.32034
23.3572 0.210526 3.04441 5.69945 93.0331 0.245516 0.246842 2.52827 1.04591 5.32629
23.3572 0.263158 3.04441 5.69945 93.0331 0.245516 0.246842 2.52969 1.04616 5.31465
23.3572 0.315789 3.04442 5.69946 93.033 0.245525 0.24685 2.5277 1.04609 5.32486
23.3572 0.368421 3.04442 5.69946 93.0329 0.245517 0.246843 2.52444 1.04603 5.32746
23.3572 0.421053 3.04442 5.69946 93.0329 0.245512 0.246838 2.52757 1.046 5.3252
23.3572 0.473684 3.04441 5.69945 93.0331 0.245517 0.246843 2.5303 1.04628 5.32238
23.3572 0.526316 3.04442 5.69946 93.0329 0.245515 0.246841 2.52878 1.04613 5.32119
23.3572 0.578947 3.04441 5.69945 93.0331 0.245519 0.246844 2.52883 1.0461 5.32668
23.3572 0.631579 3.04441 5.69945 93.0331 0.245514 0.24684 2.52439 1.04575 5.33394
23.3572 0.684211 3.04442 5.69946 93.0329 0.245518 0.246844 2.5288 1.04622 5.32319
23.3572 0.736842 3.04441 5.69946 93.033 0.245517 0.246843 2.52923 1.04617 5.32569
23.3572 0.789474 3.04442 5.69946 93.0329 0.245513 0.246839 2.5287 1.04606 5.32508
23.3572 0.842105 3.04442 5.69946 93.0329 0.245516 0.246842 2.52698 1.04594 5.32663
23.3572 0.894737 3.04442 5.69946 93.0329 0.245518 0.246843 2.52917 1.04635 5.32136
23.3572 0.947368 3.04441 5.69945 93.0331 0.245515 0.246841 2.53183 1.04631 5.3182
23.3572 1 3.04442 5.69946 93.0329 0.245515 0.246841 2.52571 1.04584 5.3294
26.3665 0 3.04442 5.69946 93.033 0.245521 0.246847 2.53032 1.04637 5.31693
26.3665 0.0526316 3.04442 5.69946 93.0329 0.245514 0.24684 2.52589 1.04578 5.33168
26.3665 0.105263 3.04442 5.69946 93.0329 0.245512 0.246838 2.52722 1.04601 5.32804
26.3665 0.157895 3.04442 5.69946 93.0329 0.245513 0.246839 2.5287 1.04626 5.32067
26.3665 0.210526 3.04442 5.69946 93.0329 0.245515 0.246841 2.52736 1.04595 5.32805
26.3665 0.263158 3.04441 5.69945 93.0331 0.245512 0.246838 2.5273 1.04615 5.32377
26.3665 0.315789 3.04442 5.69946 93.0329 0.245515 0.246841 2.52788 1.04619 5.3249
26.3665 0.368421 3.04442 5.69947 93.0329 0.245515 0.246841 2.5271 1.04599 5.32488
26.3665 0.421053 3.04442 5.69946 93.0329 0.245517 0.246843 2.52733 1.04591 5.3267
26.3665 0.473684 3.04442 5.69946 93.033 0.245517 0.246843 2.52681 1.04586 5.33102
26.3665 0.526316 3.04442 5.69946 93.0329 0.245517 0.246843 2.52732 1.04588 5.32961
26.3665 0.578947 3.04442 5.69946 93.033 0.245525 0.24685 2.52763 1.04587 5.329
26.3665 0.631579 3.04442 5.69946 93.033 0.245513 0.246839 2.52954 1.04629 5.32192
26.3665 0.684211 3.04441 5.69945 93.0331 0.245519 0.246845 2.53014 1.04611 5.32347
26.3665 0.736842 3.04441 5.69945 93.0331 0.245517 0.246842 2.53011 1.04613 5.32468
26.3665 0.789474 3.04442 5.69946 93.0329 0.245517 0.246842 2.52871 1.04635 5.31929
26.3665 0.842105 3.04441 5.69945 93.033 0.245516 0.246841 2.52798 1.04615 5.32341
26.3665 0.894737 3.04441 5.69945 93.0331 0.245514 0.246839 2.52529 1.04585 5.32813
26.3665 0.947368 3.04441 5.69945 93.0331 0.245518 0.246844 2.52672 1.04598 5.32743
26.3665 1 3.04442 5.69947 93.0329 0.245519 0.246844 2.52868 1.04625 5.32105
29.7635 0 3.04441 5.69945 93.0331 0.245512 0.246838 2.52817 1.04621 5.32208
29.7635 0.0526316 3.04441 5.69945 93.0331 0.245517 0.246843 2.52607 1.04571 5.33124
29.7635 0.105263 3.04442 5.69946 93.033 0.245519 0.246845 2.52825 1.04592 5.32788
29.7635 0.157895 3.04441 5.69945 93.0331 0.245516 0.246841 2.52784 1.04625 5.32008
29.7635 0.210526 3.04442 5.69946 93.0329 0.245513 0.246839 2.52789 1.04608 5.32334
29.7635 0.263158 3.04441 5.69945 93.0331 0.245519 0.246845 2.52906 1.04628 5.32162
29.7635 0.315789 3.04442 5.69946 93.033 0.245512 0.246838 2.53026 1.04637 5.3176
29.7635 0.368421 3.04442 5.69947 93.0329 0.245519 0.246844 2.5263 1.04602 5.32626
29.7635 0.421053 3.04441 5.69945 93.0331 0.245517 0.246843 2.52882 1.04619 5.32409
29.7635 0.473684 3.04441 5.69945 93.0331 0.245517 0.246843 2.52831 1.04601 5.32511
29.7635 0.526316 3.04441 5.69945 93.0331 0.245518 0.246844 2.52989 1.04639 5.31834
29.7635 0.578947 3.04442 5.69946 93.0329 0.245519 0.246845 2.52754 1.04614 5.32275
29.7635 0.631579 3.04441 5.69945 93.0331 0.245519 0.246845 2.52906 1.04602 5.32728
29.7635 0.684211 3.04441 5.69945 93.033 0.245514 0.24684 2.52922 1.04603 5.3244
29.7635 0.736842 3.04441 5.69945 93.0331 0.245512 0.246837 2.52811 1.04602 5.32381
29.7635 0.789474 3.04441 5.69945 93.0331 0.245517 0.246842 2.52894 1.04619 5.32462
29.7635 0.842105 3.04442 5.69946 93.0329 0.245514 0.24684 2.52799 1.04599 5.32469
29.7635 0.894737 3.04442 5.69946 93.0329 0.245513 0.246838 2.52468 1.04578 5.33124
29.7635 0.947368 3.04441 5.69945 93.0331 0.245515 0.24684 2.52669 1.04594 5.32763
29.7635 1 3.04442 5.69946 93.033 0.24551 0.246835 2.52664 1.04588 5.32636
33.5982 0 3.04441 5.69945 93.0331 0.245521 0.246847 2.53297 1.04648 5.31502
33.5982 0.0526316 3.04442 5.69946 93.0329 0.245519 0.246845 2.52464 1.04564 5.33327
33.5982 0.105263 3.04441 5.69945 93.0331 0.245517 0.246843 2.52866 1.04602 5.32679
33.5982 0.157895 3.04442 5.69946 93.0329 0.24552 0.246846 2.52832 1.04594 5.32789
33.5982 0.210526 3.04441 5.69945 93.0331 0.245516 0.246842 2.528 1.04599 5.32656
33.5982 0.263158 3.04442 5.69946 93.033 0.245517 0.246843 2.52753 1.04602 5.32717
33.5982 0.315789 3.04441 5.69946 93.033 0.245518 0.246844 2.52957 1.04609 5.323
33.5982 0.368421 3.04441 5.69945 93.0331 0.245518 0.246843 2.52899 1.04604 5.32398
33.5982 0.421053 3.04441 5.69945 93.0331 0.245516 0.246842 2.52521 1.04575 5.33264
33.5982 0.473684 3.04442 5.69946 93.0329 0.245515 0.246841 2.52665 1.04612 5.324
33.5982 0.526316 3.04441 5.69945 93.0331 0.245518 0.246844 2.52975 1.0461 5.3257
33.5982 0.578947 3.04441 5.69945 93.0331 0.245521 0.246846 2.52766 1.04597 5.32371
33.5982 0.631579 3.04441 5.69945 93.0331 0.245516 0.246842 2.52607 1.04584 5.33064
33.5982 0.684211 3.04441 5.69946 93.033 0.245517 0.246842 2.52984 1.04636 5.32052
33.5982 0.736842 3.04441 5.69945 93.033 0.245518 0.246844 2.53012 1.04611 5.32349
33.5982 0.789474 3.04442 5.69946 93.0329 0.245515 0.24684 2.52637 1.04601 5.32756
33.5982 0.842105 3.04442 5.69946 93.0329 0.245516 0.246842 2.52709 1.0459 5.3286
33.5982 0.894737 3.04442 5.69946 93.0329 0.245516 0.246842 2.52796 1.04598 5.32685
33.5982 0.947368 3.04442 5.69946 93.033 0.245517 0.246843 2.52831 1.046 5.32591
33.5982 1 3.04442 5.69946 93.0329 0.245516 0.246842 2.52585 1.04579 5.32986
37.9269 0 3.04442 5.69946 93.0329 0.245519 0.246845 2.52909 1.04615 5.32153
37.9269 0.0526316 3.04442 5.69946 93.0329 0.245517 0.246843 2.52733 1.04584 5.32955
37.9269 0.105263 3.04442 5.69946 93.0329 0.245515 0.246841 2.52835 1.04618 5.32086
37.9269 0.157895 3.04442 5.69947 93.0329 0.24552 0.246845 2.52783 1.04595 5.32759
37.9269 0.210526 3.04441 5.69945 93.0331 0.245511 0.246837 2.52697 1.04595 5.32562
37.9269 0.263158 3.04442 5.69946 93.033 0.245517 0.246843 2.53127 1.04619 5.32251
37.9269 0.315789 3.04441 5.69945 93.0331 0.245519 0.246845 2.52796 1.0461 5.32274
37.9269 0.368421 3.04442 5.69946 93.0329 0.245519 0.246845 2.52869 1.04598 5.32587
37.9269 0.421053 3.04441 5.69945 93.0331 0.245514 0.24684 2.52654 1.04589 5.33088
37.9269 0.473684 3.04441 5.69945 93.0331 0.245518 0.246843 2.52922 1.04627 5.3216
37.9269 0.526316 3.04441 5.69945 93.0331 0.245517 0.246842 2.52604 1.04612 5.32556
37.9269 0.578947 3.04441 5.69945 93.0331 0.245513 0.246839 2.52856 1.04622 5.32279
37.9269 0.631579 3.04442 5.69946 93.0329 0.245519 0.246845 2.52673 1.04602 5.32776
37.9269 0.684211 3.04442 5.69946 93.0329 0.245513 0.246838 2.52902 1.04621 5.32273
37.9269 0.736842 3.04442 5.69946 93.0329 0.245521 0.246846 2.52628 1.04576 5.33293
37.9269 0.789474 3.04442 5.69946 93.0329 0.245519 0.246844 2.52893 1.04608 5.3239
37.9269 0.842105 3.04442 5.69946 93.0329 0.245516 0.246841 2.5261 1.04606 5.3206
37.9269 0.894737 3.04442 5.69946 93.0329 0.245517 0.246843 2.52656 1.04585 5.32763
37.9269 0.947368 3.04442 5.69946 93.033 0.24552 0.246846 2.52758 1.04596 5.3258
37.9269 1 3.04442 5.69946 93.0329 0.24552 0.246846 2.52809 1.04623 5.32471
42.8133 0 3.04442 5.69946 93.0329 0.245521 0.246847 2.52886 1.04597 5.32769
42.8133 0.0526316 3.04441 5.69946 93.033 0.245517 0.246843 2.52902 1.04601 5.32615
42.8133 0.105263 3.04441 5.69945 93.0331 0.245517 0.246843 2.52889 1.046 5.32495
42.8133 0.157895 3.04442 5.69946 93.0329 0.245513 0.246839 2.52779 1.04606 5.3235
42.8133 0.210526 3.04442 5.69946 93.0329 0.245517 0.246843 2.52494 1.04579 5.3308
42.8133 0.263158 3.04442 5.69946 93.0329 0.245521 0.246847 2.52475 1.04595 5.33007
42.8133 0.315789 3.04442 5.69946 93.0329 0.245518 0.246844 2.52796 1.04619 5.32351
42.8133 0.368421 3.04442 5.69946 93.033 0.245517 0.246843 2.52956 1.04623 5.32152
42.8133 0.421053 3.04442 5.69946 93.033 0.245513 0.246838 2.53021 1.04605 5.32513
42.8133 0.473684 3.04442 5.69946 93.033 0.245518 0.246843 2.53112 1.0462 5.32058
42.8133 0.526316 3.04442 5.69946 93.033 0.245515 0.24684 2.53078 1.04636 5.31866
42.8133 0.578947 3.04442 5.69946 93.0329 0.245516 0.246842 2.53129 1.04624 5.32149
42.8133 0.631579 3.04442 5.69946 93.033 0.245518 0.246844 2.53148 1.04631 5.31915
42.8133 0.684211 3.04442 5.69946 93.033 0.245512 0.246838 2.52853 1.0463 5.32011
42.8133 0.736842 3.04441 5.69945 93.0331 0.245513 0.246839 2.52912 1.04626 5.32276
42.8133 0.789474 3.04442 5.69947 93.0329 0.245512 0.246838 2.52987 1.04628 5.32035
42.8133 0.842105 3.04442 5.69946 93.0329 0.245518 0.246844 2.52408 1.04567 5.33246
42.8133 0.894737 3.04441 5.69945 93.033 0.245516 0.246842 2.5272 1.04601 5.32462
42.8133 0.947368 3.04442 5.69946 93.0329 0.245518 0.246844 2.52636 1.04605 5.32778
42.8133 1 3.04441 5.69945 93.0331 0.245514 0.246839 2.52595 1.04586 5.33298
48.3293 0 3.04441 5.69944 93.0332 0.245514 0.24684 2.52682 1.04609 5.32435
48.3293 0.0526316 3.04442 5.69946 93.0329 0.245515 0.24684 2.52777 1.04587 5.32629
48.3293 0.105263 3.04441 5.69945 93.0331 0.245517 0.246843 2.52891 1.04628 5.32048
48.3293 0.157895 3.04442 5.69946 93.0329 0.245511 0.246837 2.5273 1.04598 5.32827
48.3293 0.210526 3.04442 5.69946 93.0329 0.245514 0.24684 2.52454 1.04582 5.33033
48.3293 0.263158 3.04441 5.69944 93.0331 0.245511 0.246837 2.52615 1.04574 5.33117
